city,date,temp_c
Ariyalur,01-01-2010,24.1
Ariyalur,02-01-2010,23.8
Ariyalur,03-01-2010,23.4
Ariyalur,04-01-2010,22.5
Ariyalur,05-01-2010,22
Ariyalur,06-01-2010,23
Ariyalur,07-01-2010,23.6
Ariyalur,08-01-2010,24
Ariyalur,09-01-2010,24.6
Ariyalur,10-01-2010,25.2
Ariyalur,11-01-2010,25.2
Ariyalur,12-01-2010,25.4
Ariyalur,13-01-2010,25.4
Ariyalur,14-01-2010,25.3
Ariyalur,15-01-2010,24.4
Ariyalur,16-01-2010,24.3
Ariyalur,17-01-2010,24.4
Ariyalur,18-01-2010,24.6
Ariyalur,19-01-2010,24.3
Ariyalur,20-01-2010,24
Ariyalur,21-01-2010,22.5
Ariyalur,22-01-2010,21.9
Ariyalur,23-01-2010,22.5
Ariyalur,24-01-2010,22.9
Ariyalur,25-01-2010,23.4
Ariyalur,26-01-2010,24.1
Ariyalur,27-01-2010,24.5
Ariyalur,28-01-2010,24.5
Ariyalur,29-01-2010,23.9
Ariyalur,30-01-2010,23.7
Ariyalur,31-01-2010,23.9
Ariyalur,01-02-2010,23.5
Ariyalur,02-02-2010,23.2
Ariyalur,03-02-2010,23.2
Ariyalur,04-02-2010,23
Ariyalur,05-02-2010,23.1
Ariyalur,06-02-2010,23.4
Ariyalur,07-02-2010,23.9
Ariyalur,08-02-2010,23.2
Ariyalur,09-02-2010,23.3
Ariyalur,10-02-2010,24.3
Ariyalur,11-02-2010,25.3
Ariyalur,12-02-2010,25.9
Ariyalur,13-02-2010,25.6
Ariyalur,14-02-2010,25.5
Ariyalur,15-02-2010,25.3
Ariyalur,16-02-2010,25.8
Ariyalur,17-02-2010,26.2
Ariyalur,18-02-2010,26.1
Ariyalur,19-02-2010,25.5
Ariyalur,20-02-2010,26.3
Ariyalur,21-02-2010,26.9
Ariyalur,22-02-2010,27.1
Ariyalur,23-02-2010,27.7
Ariyalur,24-02-2010,27.8
Ariyalur,25-02-2010,28
Ariyalur,26-02-2010,27.9
Ariyalur,27-02-2010,27.8
Ariyalur,28-02-2010,27.6
Ariyalur,01-03-2010,27
Ariyalur,02-03-2010,26.4
Ariyalur,03-03-2010,26.4
Ariyalur,04-03-2010,27.1
Ariyalur,05-03-2010,27.8
Ariyalur,06-03-2010,28.7
Ariyalur,07-03-2010,29.6
Ariyalur,08-03-2010,28.9
Ariyalur,09-03-2010,28.7
Ariyalur,10-03-2010,28.9
Ariyalur,11-03-2010,28.8
Ariyalur,12-03-2010,28.7
Ariyalur,13-03-2010,29
Ariyalur,14-03-2010,29.7
Ariyalur,15-03-2010,29.5
Ariyalur,16-03-2010,28.9
Ariyalur,17-03-2010,29.1
Ariyalur,18-03-2010,28.6
Ariyalur,19-03-2010,29.1
Ariyalur,20-03-2010,29.7
Ariyalur,21-03-2010,29.8
Ariyalur,22-03-2010,29.5
Ariyalur,23-03-2010,29.6
Ariyalur,24-03-2010,29.9
Ariyalur,25-03-2010,30.2
Ariyalur,26-03-2010,31.1
Ariyalur,27-03-2010,31.5
Ariyalur,28-03-2010,31
Ariyalur,29-03-2010,31.3
Ariyalur,30-03-2010,31.7
Ariyalur,31-03-2010,32.4
Ariyalur,01-04-2010,32.9
Ariyalur,02-04-2010,32.6
Ariyalur,03-04-2010,31.8
Ariyalur,04-04-2010,30.7
Ariyalur,05-04-2010,30.6
Ariyalur,06-04-2010,30.9
Ariyalur,07-04-2010,31
Ariyalur,08-04-2010,30.3
Ariyalur,09-04-2010,31.1
Ariyalur,10-04-2010,30.9
Ariyalur,11-04-2010,32.3
Ariyalur,12-04-2010,31.9
Ariyalur,13-04-2010,32.7
Ariyalur,14-04-2010,32.6
Ariyalur,15-04-2010,31.7
Ariyalur,16-04-2010,31.6
Ariyalur,17-04-2010,31.1
Ariyalur,18-04-2010,32.5
Ariyalur,19-04-2010,33.5
Ariyalur,20-04-2010,33.2
Ariyalur,21-04-2010,32.7
Ariyalur,22-04-2010,32.9
Ariyalur,23-04-2010,32.3
Ariyalur,24-04-2010,32.3
Ariyalur,25-04-2010,32.6
Ariyalur,26-04-2010,31.1
Ariyalur,27-04-2010,31.7
Ariyalur,28-04-2010,31.5
Ariyalur,29-04-2010,30.8
Ariyalur,30-04-2010,29
Ariyalur,01-05-2010,29.9
Ariyalur,02-05-2010,31
Ariyalur,03-05-2010,30.2
Ariyalur,04-05-2010,29.4
Ariyalur,05-05-2010,31
Ariyalur,06-05-2010,32.7
Ariyalur,07-05-2010,31.9
Ariyalur,08-05-2010,31.5
Ariyalur,09-05-2010,31.5
Ariyalur,10-05-2010,32.4
Ariyalur,11-05-2010,33
Ariyalur,12-05-2010,33
Ariyalur,13-05-2010,32.6
Ariyalur,14-05-2010,31.7
Ariyalur,15-05-2010,31.6
Ariyalur,16-05-2010,32.5
Ariyalur,17-05-2010,32.1
Ariyalur,18-05-2010,30.3
Ariyalur,19-05-2010,29.7
Ariyalur,20-05-2010,30.4
Ariyalur,21-05-2010,31.4
Ariyalur,22-05-2010,31.7
Ariyalur,23-05-2010,31.5
Ariyalur,24-05-2010,31.7
Ariyalur,25-05-2010,31.6
Ariyalur,26-05-2010,32.7
Ariyalur,27-05-2010,33.5
Ariyalur,28-05-2010,32
Ariyalur,29-05-2010,32
Ariyalur,30-05-2010,31.7
Ariyalur,31-05-2010,30.5
Ariyalur,01-06-2010,32.2
Ariyalur,02-06-2010,32.9
Ariyalur,03-06-2010,32.2
Ariyalur,04-06-2010,31.3
Ariyalur,05-06-2010,29
Ariyalur,06-06-2010,30.3
Ariyalur,07-06-2010,28.6
Ariyalur,08-06-2010,29.6
Ariyalur,09-06-2010,30.3
Ariyalur,10-06-2010,28.4
Ariyalur,11-06-2010,28.6
Ariyalur,12-06-2010,29.5
Ariyalur,13-06-2010,29.3
Ariyalur,14-06-2010,30.3
Ariyalur,15-06-2010,30.7
Ariyalur,16-06-2010,29.2
Ariyalur,17-06-2010,29.3
Ariyalur,18-06-2010,29.2
Ariyalur,19-06-2010,29.9
Ariyalur,20-06-2010,29.2
Ariyalur,21-06-2010,29.8
Ariyalur,22-06-2010,29.1
Ariyalur,23-06-2010,29.6
Ariyalur,24-06-2010,28.9
Ariyalur,25-06-2010,29.7
Ariyalur,26-06-2010,30.6
Ariyalur,27-06-2010,30.9
Ariyalur,28-06-2010,30.5
Ariyalur,29-06-2010,29.9
Ariyalur,30-06-2010,30.4
Ariyalur,01-07-2010,28.5
Ariyalur,02-07-2010,29.7
Ariyalur,03-07-2010,29.7
Ariyalur,04-07-2010,28.9
Ariyalur,05-07-2010,30.3
Ariyalur,06-07-2010,29
Ariyalur,07-07-2010,29.4
Ariyalur,08-07-2010,28.2
Ariyalur,09-07-2010,27.9
Ariyalur,10-07-2010,29.1
Ariyalur,11-07-2010,29.8
Ariyalur,12-07-2010,29.4
Ariyalur,13-07-2010,28.7
Ariyalur,14-07-2010,29.3
Ariyalur,15-07-2010,29.2
Ariyalur,16-07-2010,28.4
Ariyalur,17-07-2010,28.4
Ariyalur,18-07-2010,28.9
Ariyalur,19-07-2010,28.7
Ariyalur,20-07-2010,28.3
Ariyalur,21-07-2010,29.1
Ariyalur,22-07-2010,29.5
Ariyalur,23-07-2010,30
Ariyalur,24-07-2010,29.9
Ariyalur,25-07-2010,29.1
Ariyalur,26-07-2010,29.9
Ariyalur,27-07-2010,29.5
Ariyalur,28-07-2010,29.6
Ariyalur,29-07-2010,29.6
Ariyalur,30-07-2010,29.9
Ariyalur,31-07-2010,30
Ariyalur,01-08-2010,30.9
Ariyalur,02-08-2010,31.4
Ariyalur,03-08-2010,30.3
Ariyalur,04-08-2010,29.7
Ariyalur,05-08-2010,30.2
Ariyalur,06-08-2010,30.5
Ariyalur,07-08-2010,30.6
