name,region,country,lat,lon,tz_id,localtime_epoch,localtime,last_updated_epoch,last_updated,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,uv,gust_mph,gust_kph,text,co,no2,o3,so2,pm2_5,pm10,us-epa-index,gb-defra-index
Chittoor,Andhra Pradesh,India,13.2,79.12,Asia/Kolkata,1617818123,2021-04-07 23:25,1617817500,2021-04-07 23:15,32.9,91.2,0,9.2,14.8,132,SE,1011.0,30.3,0.0,0.0,48,0,36.9,98.4,10.0,6.0,1.0,14.5,23.4,Clear,377.20001220703125,4.800000190734863,114.4000015258789,2.700000047683716,29.5,44.29999923706055,2,3
Cuddapah,Andhra Pradesh,India,14.47,78.82,Asia/Kolkata,1617818123,2021-04-07 23:25,1617817500,2021-04-07 23:15,36.4,97.5,0,8.5,13.7,107,ESE,1009.0,30.3,0.0,0.0,29,0,39.4,102.9,10.0,6.0,1.0,17.9,28.8,Clear,360.5,4.0,147.3000030517578,13.399999618530273,42.900001525878906,58.20000076293945,3,5
East Godavari,Andhra Pradesh,India,16.93,82.22,Asia/Kolkata,1617818123,2021-04-07 23:25,1617817500,2021-04-07 23:15,28.1,82.6,0,4.3,6.8,193,SSW,1010.0,30.3,0.0,0.0,67,5,30.7,87.3,10.0,6.0,1.0,5.6,9.0,Partly cloudy,387.20001220703125,8.699999809265137,50.099998474121094,9.399999618530273,21.600000381469727,39.599998474121094,2,2
Guntur,Andhra Pradesh,India,16.3,80.45,Asia/Kolkata,1617818124,2021-04-07 23:25,1617817500,2021-04-07 23:15,27.4,81.3,0,11.0,17.6,169,S,1010.0,30.3,0.0,0.0,68,4,29.6,85.3,10.0,6.0,1.0,15.7,25.2,Partly cloudy,387.20001220703125,5.5,55.79999923706055,4.699999809265137,16.0,30.600000381469727,2,2
Krishnanagar,West Bengal,India,23.4,88.5,Asia/Kolkata,1617818124,2021-04-07 23:25,1617817500,2021-04-07 23:15,27.0,80.6,0,9.4,15.1,180,S,1007.0,30.2,0.0,0.0,94,50,28.1,82.5,3.2,1.0,1.0,26.2,42.1,Mist,774.4000244140625,32.20000076293945,78.0,62.900001525878906,54.900001525878906,79.19999694824219,3,7
Srikakulam,Andhra Pradesh,India,18.3,83.9,Asia/Kolkata,1617818125,2021-04-07 23:25,1617817500,2021-04-07 23:15,27.1,80.8,0,12.1,19.4,202,SSW,1010.0,30.3,0.0,0.0,76,3,29.9,85.8,10.0,6.0,1.0,17.0,27.4,Partly cloudy,320.3999938964844,1.2000000476837158,59.400001525878906,0.8999999761581421,19.899999618530273,36.29999923706055,2,2
West Godavari,Andhra Pradesh,India,16.7,81.1,Asia/Kolkata,1617818125,2021-04-07 23:25,1617817500,2021-04-07 23:15,27.0,80.6,0,0.0,0.0,0,N,1010.0,30.3,0.0,0.0,84,0,28.5,83.3,3.0,1.0,1.0,14.8,23.8,Mist,363.79998779296875,15.300000190734863,44.400001525878906,27.700000762939453,20.200000762939453,37.099998474121094,2,2
Diu Airport,Diu,India,20.71,70.92,Asia/Kolkata,1617818126,2021-04-07 23:25,1617817500,2021-04-07 23:15,28.0,82.4,0,13.4,21.6,270,W,1010.0,30.3,0.0,0.0,61,0,29.8,85.6,10.0,6.0,1.0,20.1,32.4,Clear,240.3000030517578,3.200000047683716,75.80000305175781,1.2000000476837158,39.099998474121094,125.4000015258789,2,4
North Goaldi,,Bangladesh,23.22,90.3,Asia/Dhaka,1617818126,2021-04-07 23:55,1617817500,2021-04-07 23:45,32.0,89.6,0,14.1,22.7,178,S,1008.0,30.2,0.0,0.0,50,19,33.9,93.0,10.0,6.0,1.0,21.7,34.9,Partly cloudy,654.2000122070312,14.899999618530273,40.400001525878906,2.5,54.5,79.0,3,7
South Goaldi,,Bangladesh,23.22,90.32,Asia/Dhaka,1617818127,2021-04-07 23:55,1617817500,2021-04-07 23:45,32.0,89.6,0,14.1,22.7,178,S,1008.0,30.2,0.0,0.0,50,19,33.9,93.0,10.0,6.0,1.0,21.7,34.9,Partly cloudy,654.2000122070312,14.899999618530273,40.400001525878906,2.5,54.5,79.0,3,7
